Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number
 Grace ,25,50000,Male,HR,Manager,2018-04-05,D,email@example.com,000-000-0000
 David ,30,65000,Female,Finance,Director,,F,user@domain.com,123-456-7890
 Hannah ,35,60000,Female,Sales,Director,,C,email@example.com,098-765-4321
 Eve ,30,50000,Female,IT,Manager,2018-04-05,A,name@company.org, 
 Grace ,30,60216,Female,Finance,Manager,,F,name@company.org,098-765-4321
 Jack ,30,65000,Other,Marketing,Director,,F,user@domain.com,000-000-0000
 Charlie ,30,50000,Male,Marketing,Clerk,,B,no_email@example.com,123-456-7890
 Grace ,40,50000,Other,HR,Director,,C,no_email@example.com, 
 Hannah ,40,60000,Female,Marketing,Manager,,C,user@domain.com,123-456-7890
 Eve ,30,60216,Other,Finance,Assistant,,A,no_email@example.com, 
 David ,25,70000,Male,Marketing,Analyst,,B,no_email@example.com,123-456-7890
 Hannah ,30,70000,Other,Finance,Assistant,,A,no_email@example.com,000-000-0000
 Hannah ,30,50000,Male,IT,Assistant,2018-04-05,D,no_email@example.com, 
 Charlie ,25,55000,Other,HR,Manager,,F,no_email@example.com,555-555-5555
 Frank ,50,60216,Male,Marketing,Director,,A,no_email@example.com,123-456-7890
 Eve ,35,65000,Male,Finance,Clerk,2018-04-05,F,no_email@example.com,123-456-7890
 Bob ,40,55000,Female,Sales,Assistant,,B,no_email@example.com,098-765-4321
 Hannah ,50,55000,Male,HR,Director,2018-04-05,D,user@domain.com, 
 Frank ,25,60216,Female,IT,Clerk,,B,email@example.com,555-555-5555
 Bob ,50,50000,Female,Finance,Assistant,,D,user@domain.com,000-000-0000
 Eve ,35,50000,Female,IT,Clerk,,D,email@example.com,098-765-4321
 Alice ,25,50000,Other,IT,Director,2018-04-05,F,user@domain.com,555-555-5555
 Jack ,50,50000,Other,Marketing,Analyst,2018-04-05,B,email@example.com, 
 Frank ,40,70000,Other,Marketing,Director,,B,email@example.com,555-555-5555
 Ivy ,40,50000,Other,Finance,Manager,2018-04-05,A,name@company.org,123-456-7890
 Alice ,30,70000,Male,Sales,Clerk,,B,email@example.com,123-456-7890
 Jack ,50,70000,Male,Finance,Analyst,,A,email@example.com,098-765-4321
 Charlie ,30,50000,Other,Sales,Clerk,,C,name@company.org, 
 Grace ,50,60000,Male,IT,Clerk,,C,no_email@example.com, 
 David ,25,65000,Male,HR,Assistant,,C,no_email@example.com,555-555-5555
 Ivy ,25,55000,Female,Finance,Manager,,B,name@company.org,098-765-4321
 Charlie ,50,70000,Female,Finance,Clerk,,B,no_email@example.com, 
 Eve ,35,60216,Female,Sales,Director,,A,email@example.com,123-456-7890
 Charlie ,40,60216,Female,IT,Director,2018-04-05,D,email@example.com,555-555-5555
 Grace ,25,65000,Male,IT,Assistant,,A,name@company.org,000-000-0000
 Eve ,40,60216,Other,Sales,Manager,,C,name@company.org,123-456-7890
 Ivy ,25,60000,Male,IT,Manager,,A,no_email@example.com,098-765-4321
 Grace ,30,60216,Male,Marketing,Director,,D,no_email@example.com, 
 Bob ,30,55000,Male,HR,Analyst,,B,user@domain.com,123-456-7890
 David ,25,55000,Female,Finance,Assistant,,A,no_email@example.com,000-000-0000
 Ivy ,40,70000,Female,HR,Assistant,2018-04-05,C,email@example.com,000-000-0000
 Bob ,30,50000,Female,Finance,Director,,C,name@company.org,098-765-4321
 Jack ,25,60000,Other,Marketing,Director,,B,no_email@example.com,123-456-7890
 Ivy ,35,70000,Male,IT,Analyst,,A,no_email@example.com,555-555-5555
 Jack ,30,60000,Other,Sales,Analyst,,D,no_email@example.com,123-456-7890
 Eve ,25,50000,Female,Marketing,Manager,,B,no_email@example.com,000-000-0000
 Bob ,30,60216,Other,HR,Assistant,,A,email@example.com,098-765-4321
 David ,35,60216,Male,Sales,Assistant,,F,user@domain.com,098-765-4321
 Grace ,50,50000,Male,IT,Director,,C,no_email@example.com,555-555-5555
 Hannah ,30,70000,Female,Marketing,Manager,,D,no_email@example.com,098-765-4321
 Charlie ,30,50000,Female,Sales,Assistant,2018-04-05,D,user@domain.com,098-765-4321
 Alice ,35,65000,Other,Marketing,Manager,,D,no_email@example.com,098-765-4321
 David ,30,55000,Female,Marketing,Manager,,C,no_email@example.com,098-765-4321
 Bob ,35,70000,Female,IT,Director,,A,no_email@example.com,098-765-4321
 Hannah ,25,60000,Male,Finance,Manager,,B,no_email@example.com,000-000-0000
 David ,35,65000,Female,Sales,Analyst,,A,user@domain.com,123-456-7890
 Bob ,35,70000,Female,IT,Analyst,,B,email@example.com, 
